Rainfall, Temperature, Ph,Crop, Production
610.16393,20,5.234,Wheat,0.067
610.23529,20,5.237,Wheat,0.0673
610.26276,20,5.24,Wheat,0.0676
610.57217,20,5.243,Wheat,0.0679
610.59459,20,5.246,Wheat,0.0682
610.74803,20,5.249,Wheat,0.0685
610.86479,20,5.252,Wheat,0.0688
610.88952,20,5.255,Wheat,0.0691
610.88968,20,5.258,Wheat,0.0694
610.94812,20,5.261,Wheat,0.0697
610.94821,20,5.264,Wheat,0.07
610.99231,20,5.267,Wheat,0.0703
611.05487,20,5.27,Wheat,0.0706
611.31096,20,5.273,Wheat,0.0709
611.36416,20,5.276,Wheat,0.0712
611.49137,20,5.279,Wheat,0.0715
611.68338,20,5.282,Wheat,0.0718
611.688,20,5.285,Wheat,0.0721
611.77254,20,5.288,Wheat,0.0724
611.88559,20,5.291,Wheat,0.0727
611.92759,20,5.294,Wheat,0.073
612.11614,20,5.297,Wheat,0.0733
612.78499,20,5.3,Wheat,0.0736
612.95455,20,5.303,Wheat,0.0739
613.04348,20,5.306,Wheat,0.0742
613.09645,20,5.309,Wheat,0.0745
613.18267,20,5.312,Wheat,0.0748
613.25658,20,5.315,Wheat,0.0751
613.33333,20,5.318,Wheat,0.0754
613.33333,20,5.321,Wheat,0.0757
613.36821,20,5.324,Wheat,0.076
613.38462,20,5.327,Wheat,0.0763
613.4327,20,5.33,Wheat,0.0766
613.45528,20,5.333,Wheat,0.0769
613.51685,20,5.336,Wheat,0.0772
613.52113,20,5.339,Wheat,0.0775
613.63636,20,5.342,Wheat,0.0778
613.69091,20,5.345,Wheat,0.0781
613.73079,20,5.348,Wheat,0.0784
613.7365,20,5.351,Wheat,0.0787
613.85939,20,5.354,Wheat,0.079
613.9225,20,5.357,Wheat,0.0793
613.94074,20,5.36,Wheat,0.0796
613.96552,20,5.363,Wheat,0.0799
614.00826,20,5.366,Wheat,0.0802
614.03226,20,5.369,Wheat,0.0805
614.09396,20,5.372,Wheat,0.0808
614.15837,20,5.375,Wheat,0.0811
614.17591,20,5.378,Wheat,0.0814
614.21974,20,5.381,Wheat,0.0817
614.25,20,5.384,Wheat,0.082
614.27692,20,5.387,Wheat,0.0823
614.35921,20,5.39,Wheat,0.0826
614.36694,20,5.393,Wheat,0.0829
614.4,20,5.396,Wheat,0.0832
614.4,20,5.399,Wheat,0.0835
614.50549,20,5.402,Wheat,0.0838
614.53846,20,5.405,Wheat,0.0841
614.6652,20,5.408,Wheat,0.0844
614.67728,20,5.411,Wheat,0.0847
614.84604,20,5.414,Wheat,0.085
614.8855,20,5.417,Wheat,0.0853
614.89051,20,5.42,Wheat,0.0856
615,20,5.423,Wheat,0.0859
615,20,5.426,Wheat,0.0862
615,20,5.429,Wheat,0.0865
615,20,5.432,Wheat,0.0868
615,20,5.435,Wheat,0.0871
615,20,5.438,Wheat,0.0874
615,20,5.441,Wheat,0.0877
615,20,5.444,Wheat,0.088
615,20,5.447,Wheat,0.0883
615,20,5.45,Wheat,0.0886
615,20,5.453,Wheat,0.0889
615.00823,20,5.456,Wheat,0.0892
615.06112,20,5.459,Wheat,0.0895
615.07719,20,5.462,Wheat,0.0898
615.11316,20,5.465,Wheat,0.0901
615.21,20,5.468,Wheat,0.0904
615.34005,20,5.471,Wheat,0.0907
615.37145,20,5.474,Wheat,0.091
615.41053,20,5.477,Wheat,0.0913
615.41302,20,5.48,Wheat,0.0916
615.48281,20,5.483,Wheat,0.0919
615.50534,20,5.486,Wheat,0.0922
615.54416,20,5.489,Wheat,0.0925
615.56604,20,5.492,Wheat,0.0928
615.60427,20,5.495,Wheat,0.0931
615.66717,20,5.498,Wheat,0.0934
615.69231,20,5.501,Wheat,0.0937
615.70078,20,5.504,Wheat,0.094
615.80153,20,5.507,Wheat,0.0943
615.81019,20,5.51,Wheat,0.0946
615.85859,20,5.513,Wheat,0.0949
615.96676,20,5.516,Wheat,0.0952
615.97753,20,5.519,Wheat,0.0955
615.99634,20,5.522,Wheat,0.0958
616,20,5.525,Wheat,0.0961
616.07143,20,5.528,Wheat,0.0964
616.07746,20,5.531,Wheat,0.0967
616.19789,20,5.534,Wheat,0.097
616.25698,20,5.537,Wheat,0.0973
616.26506,20,5.54,Wheat,0.0976
616.26506,20,5.543,Wheat,0.0979
616.3055,20,5.546,Wheat,0.0982
616.44415,20,5.549,Wheat,0.0985
616.48548,20,5.552,Wheat,0.0988
616.59004,20,5.555,Wheat,0.0991
616.61743,20,5.558,Wheat,0.0994
616.66667,20,5.561,Wheat,0.0997
616.6948,20,5.564,Wheat,0.1
616.71429,20,5.567,Wheat,0.1003
616.74419,20,5.57,Wheat,0.1006
616.82705,20,5.573,Wheat,0.1009
616.84615,20,5.576,Wheat,0.1012
616.85255,20,5.579,Wheat,0.1015
616.8932,20,5.582,Wheat,0.1018
616.90141,20,5.585,Wheat,0.1021
616.98473,20,5.588,Wheat,0.1024
617.04762,20,5.591,Wheat,0.1027
617.08235,20,5.594,Wheat,0.103
617.09539,20,5.597,Wheat,0.1033
617.10031,20,5.6,Wheat,0.1036
617.12644,20,5.603,Wheat,0.1039
617.13462,20,5.606,Wheat,0.1042
617.14286,20,5.609,Wheat,0.1045
617.14286,20,5.612,Wheat,0.1048
617.17949,20,5.615,Wheat,0.1051
617.19298,20,5.618,Wheat,0.1054
617.20415,20,5.621,Wheat,0.1057
617.20588,20,5.624,Wheat,0.106
617.2211,20,5.627,Wheat,0.1063
617.39182,20,5.63,Wheat,0.1066
617.57322,20,5.633,Wheat,0.1069
617.63713,20,5.636,Wheat,0.1072
617.64232,20,5.639,Wheat,0.1075
617.64706,20,5.642,Wheat,0.1078
617.64706,20,5.645,Wheat,0.1081
617.64706,20,5.648,Wheat,0.1084
617.67677,20,5.651,Wheat,0.1087
617.6819,20,5.654,Wheat,0.109
617.70818,20,5.657,Wheat,0.1093
617.71328,20,5.66,Wheat,0.1096
617.7551,20,5.663,Wheat,0.1099
617.76327,20,5.666,Wheat,0.1102
617.77736,20,5.669,Wheat,0.1105
617.77778,20,5.672,Wheat,0.1108
617.79221,20,5.675,Wheat,0.1111
617.80418,20,5.678,Wheat,0.1114
617.8125,20,5.681,Wheat,0.1117
617.94378,20,5.684,Wheat,0.112
617.94749,20,5.687,Wheat,0.1123
617.98632,20,5.69,Wheat,0.1126
618,20,5.693,Wheat,0.1129
618,20,5.696,Wheat,0.1132
618,20,5.699,Wheat,0.1135
618,20,5.702,Wheat,0.1138
618,20,5.705,Wheat,0.1141
618,20,5.708,Wheat,0.1144
618.01947,20,5.711,Wheat,0.1147
618.03106,20,5.714,Wheat,0.115
618.03229,20,5.717,Wheat,0.1153
618.08413,20,5.72,Wheat,0.1156
618.09633,20,5.723,Wheat,0.1159
618.14263,20,5.726,Wheat,0.1162
618.15097,20,5.729,Wheat,0.1165
618.21429,20,5.732,Wheat,0.1168
618.21482,20,5.735,Wheat,0.1171
618.2246,20,5.738,Wheat,0.1174
618.23831,20,5.741,Wheat,0.1177
618.24167,20,5.744,Wheat,0.118
618.29354,20,5.747,Wheat,0.1183
618.29431,20,5.75,Wheat,0.1186
618.30716,20,5.753,Wheat,0.1189
618.32386,20,5.756,Wheat,0.1192
618.45276,20,5.759,Wheat,0.1195
618.46154,20,5.762,Wheat,0.1198
618.49722,20,5.765,Wheat,0.1201
618.52349,20,5.768,Wheat,0.1204
618.53365,20,5.771,Wheat,0.1207
618.54685,20,5.774,Wheat,0.121
618.55367,20,5.777,Wheat,0.1213
618.5905,20,5.78,Wheat,0.1216
618.66002,20,5.783,Wheat,0.1219
618.66144,20,5.786,Wheat,0.1222
618.66667,20,5.789,Wheat,0.1225
618.72226,20,5.792,Wheat,0.1228
618.72661,20,5.795,Wheat,0.1231
618.75,20,5.798,Wheat,0.1234
618.75,20,5.801,Wheat,0.1237
618.75,20,5.804,Wheat,0.124
618.75,20,5.807,Wheat,0.1243
618.85714,20,5.7,Wheat,0.1246
618.86918,20,5.7,Wheat,0.1249
618.87097,20,5.7,Wheat,0.1252
618.87097,20,5.7,Wheat,0.1255
618.88,20,5.7,Wheat,0.1258
618.89372,20,5.7,Wheat,0.1261
618.90277,20,5.7,Wheat,0.1264
618.94737,20,5.7,Wheat,0.1267
618.95892,20,5.7,Wheat,0.127
618.9779,20,5.7,Wheat,0.1273
619.00963,20,5.7,Wheat,0.1276
619.05882,20,5.7,Wheat,0.1279
619.08257,20,5.7,Wheat,0.1282
619.09641,20,5.7,Wheat,0.1285
619.11097,20,5.7,Wheat,0.1288
619.13514,20,5.7,Wheat,0.1291
619.18033,20,5.7,Wheat,0.1294
619.18419,20,5.7,Wheat,0.1297
619.19416,20,5.7,Wheat,0.13
619.25981,20,5.7,Wheat,0.1303
619.29515,20,5.7,Wheat,0.1306
619.33333,20,5.7,Wheat,0.1309
619.36709,20,5.7,Wheat,0.1312
619.36709,20,5.7,Wheat,0.1315
619.41176,20,5.7,Wheat,0.1318
619.45946,20,5.7,Wheat,0.1321
619.45946,20,5.7,Wheat,0.1324
619.46551,20,5.7,Wheat,0.1327
619.49416,20,5.7,Wheat,0.133
619.50442,20,5.7,Wheat,0.1333
619.52163,20,5.7,Wheat,0.1336
619.55553,20,5.7,Wheat,0.1339
619.58024,20,5.7,Wheat,0.1342
619.58276,20,5.7,Wheat,0.1345
619.59292,20,5.7,Wheat,0.1348
619.62385,20,5.7,Wheat,0.1351
619.63158,20,5.7,Wheat,0.1354
619.66667,20,5.7,Wheat,0.1357
619.68317,20,5.7,Wheat,0.136
619.72993,20,5.7,Wheat,0.1363
619.73684,20,5.7,Wheat,0.1366
619.7424,20,5.7,Wheat,0.1369
619.79186,20,5.7,Wheat,0.1372
619.91266,20,5.7,Wheat,0.1375
619.91999,20,5.7,Wheat,0.1378
619.92715,20,5.7,Wheat,0.1381
620,20,5.7,Wheat,0.1384
620,20,5.7,Wheat,0.1387
620,20,5.7,Wheat,0.139
620,20,5.7,Wheat,0.1393
620,20,5.7,Wheat,0.1396
620,20,5.7,Wheat,0.1399
620,20,5.7,Wheat,0.1402
620,20,5.7,Wheat,0.1405
620,20,5.7,Wheat,0.1408
620,20,5.7,Wheat,0.1411
620,20,5.7,Wheat,0.1414
620,20,5.7,Wheat,0.1417
620.06135,20,5.7,Wheat,0.142
620.07372,20,5.7,Wheat,0.1423
620.09112,20,5.7,Wheat,0.1426
620.10091,20,5.7,Wheat,0.1429
620.10095,20,5.7,Wheat,0.1432
620.11407,20,5.7,Wheat,0.1435
620.12422,20,5.7,Wheat,0.1438
620.14535,20,5.7,Wheat,0.1441
620.14599,20,5.7,Wheat,0.1444
620.16716,20,5.7,Wheat,0.1447
620.18182,20,5.7,Wheat,0.145
620.18182,20,5.7,Wheat,0.1453
620.18182,20,5.7,Wheat,0.1456
620.20547,20,5.7,Wheat,0.1459
620.22036,20,5.7,Wheat,0.1462
620.23688,20,5.7,Wheat,0.1465
620.26187,20,5.7,Wheat,0.1468
620.26655,20,5.7,Wheat,0.1471
620.27715,20,5.7,Wheat,0.1474
620.28025,20,5.7,Wheat,0.1477
620.28973,20,5.7,Wheat,0.148
620.30457,20,5.7,Wheat,0.1483
620.30744,20,5.7,Wheat,0.1486
620.30854,20,5.7,Wheat,0.1489
620.37037,20,5.7,Wheat,0.1492
620.40984,20,5.7,Wheat,0.1495
620.41769,20,5.7,Wheat,0.1498
620.42672,20,5.7,Wheat,0.1501
620.451,20,5.7,Wheat,0.1504
620.45455,20,5.7,Wheat,0.1507
620.51727,20,5.7,Wheat,0.151
620.55556,20,5.7,Wheat,0.1513
620.57559,20,5.7,Wheat,0.1516
620.63691,20,5.7,Wheat,0.1519
620.6456,20,5.7,Wheat,0.1522
620.69458,20,5.7,Wheat,0.1525
620.70194,20,5.7,Wheat,0.1528
620.70423,20,5.7,Wheat,0.1531
620.71698,20,5.7,Wheat,0.1534
620.71698,20,5.7,Wheat,0.1537
620.76001,20,5.7,Wheat,0.154
620.76923,20,5.7,Wheat,0.1543
620.77105,20,5.7,Wheat,0.1546
620.77982,20,5.7,Wheat,0.1549
620.7896,20,5.7,Wheat,0.1552
620.79114,20,5.7,Wheat,0.1555
620.81433,20,5.7,Wheat,0.1558
620.82782,20,5.7,Wheat,0.1561
620.84786,20,5.7,Wheat,0.1564
620.86047,20,5.7,Wheat,0.1567
620.86093,20,5.7,Wheat,0.157
620.86957,20,5.7,Wheat,0.1573
620.87667,20,5.7,Wheat,0.1576
620.88542,20,5.7,Wheat,0.1579
620.89626,20,5.7,Wheat,0.1582
620.90047,20,5.7,Wheat,0.1585
620.90819,20,5.7,Wheat,0.1588
620.91743,20,5.7,Wheat,0.1591
620.93083,20,5.7,Wheat,0.1594
620.93911,20,5.7,Wheat,0.1597
620.95477,20,5.7,Wheat,0.16
620.98543,20,5.7,Wheat,0.1603
621,20,5.7,Wheat,0.1606
621,20,5.7,Wheat,0.1609
621.01449,20,5.7,Wheat,0.1612
621.05758,20,5.7,Wheat,0.1615
621.06145,20,5.7,Wheat,0.1618
621.09001,20,5.7,Wheat,0.1621
621.12672,20,5.7,Wheat,0.1624
621.13155,20,5.7,Wheat,0.1627
621.13636,20,5.7,Wheat,0.163
621.13955,20,5.7,Wheat,0.1633
621.21005,20,5.7,Wheat,0.1636
621.2253,20,5.7,Wheat,0.1639
621.22807,20,5.7,Wheat,0.1642
621.23978,20,5.7,Wheat,0.1645
621.2442,20,5.7,Wheat,0.1648
621.25,20,5.7,Wheat,0.1651
621.30089,20,5.7,Wheat,0.1654
621.30626,20,5.7,Wheat,0.1657
621.32031,20,5.7,Wheat,0.166
621.33623,20,5.7,Wheat,0.1663
621.34361,20,5.7,Wheat,0.1666
621.35036,20,5.7,Wheat,0.1669
621.38298,20,5.7,Wheat,0.1672
621.42424,20,5.7,Wheat,0.1675
621.42857,20,5.7,Wheat,0.1678
621.42857,20,5.7,Wheat,0.1681
621.46456,20,5.7,Wheat,0.1684
621.50943,20,5.7,Wheat,0.1687
621.5758,20,5.7,Wheat,0.169
621.57692,20,5.7,Wheat,0.1693
621.57956,20,5.7,Wheat,0.1696
621.60457,20,5.7,Wheat,0.1699
621.61017,20,5.7,Wheat,0.1702
621.62544,20,5.7,Wheat,0.1705
621.63937,20,5.7,Wheat,0.1708
621.65059,20,5.7,Wheat,0.1711
621.67982,20,5.7,Wheat,0.1714
621.69096,20,5.7,Wheat,0.1717
621.74839,20,5.7,Wheat,0.172
621.74964,20,5.7,Wheat,0.1723
621.77153,20,5.7,Wheat,0.1726
621.81065,20,5.7,Wheat,0.1729
621.81818,20,5.7,Wheat,0.1732
621.81818,20,5.7,Wheat,0.1735
621.84752,20,5.7,Wheat,0.1738
621.84998,20,5.7,Wheat,0.1741
621.85442,20,5.7,Wheat,0.1744
621.8634,20,5.7,Wheat,0.1747
621.90616,20,5.7,Wheat,0.175
622,20,5.7,Wheat,0.1753
622.0243,20,5.7,Wheat,0.1756
622.03739,20,5.7,Wheat,0.1759
622.0644,20,5.7,Wheat,0.1762
622.06564,20,5.7,Wheat,0.1765
622.06612,20,5.7,Wheat,0.1768
622.07792,20,5.7,Wheat,0.1771
622.07912,20,5.7,Wheat,0.1774
622.09653,20,5.7,Wheat,0.1777
622.11679,20,5.7,Wheat,0.178
622.11679,20,5.7,Wheat,0.1783
622.13824,20,5.7,Wheat,0.1786
622.17655,20,5.7,Wheat,0.1789
622.17722,20,5.7,Wheat,0.1792
622.22222,20,5.7,Wheat,0.1795
622.22222,20,5.7,Wheat,0.1798
622.23975,20,5.7,Wheat,0.1801
622.24138,20,5.7,Wheat,0.1804
622.24172,20,5.7,Wheat,0.1807
622.25371,20,5.7,Wheat,0.181
622.28571,20,5.7,Wheat,0.1813
622.32427,20,5.7,Wheat,0.1816
622.34742,20,5.7,Wheat,0.1819
622.39523,20,5.7,Wheat,0.1822
622.40964,20,5.7,Wheat,0.1825
622.41319,20,5.7,Wheat,0.1828
622.41901,20,5.7,Wheat,0.1831
622.42857,20,5.7,Wheat,0.1834
622.43062,20,5.7,Wheat,0.1837
622.46008,20,5.7,Wheat,0.184
622.46388,20,5.7,Wheat,0.1843
622.47458,20,5.7,Wheat,0.1846
622.5,20,5.7,Wheat,0.1849
622.57066,20,5.7,Wheat,0.1852
622.60776,20,5.7,Wheat,0.1855
622.62336,20,5.7,Wheat,0.1858
622.6449,20,5.7,Wheat,0.1861
622.67442,20,5.7,Wheat,0.1864
622.67999,20,5.7,Wheat,0.1867
622.67999,20,5.7,Wheat,0.187
622.70833,20,5.7,Wheat,0.1873
622.71429,20,5.7,Wheat,0.1876
622.76316,20,5.7,Wheat,0.1879
622.7911,20,5.7,Wheat,0.1882
622.79362,20,5.7,Wheat,0.1885
622.81124,20,5.7,Wheat,0.1888
622.85714,20,5.7,Wheat,0.1891
622.85714,20,5.7,Wheat,0.1894
622.85829,20,5.7,Wheat,0.1897
622.8885,20,5.7,Wheat,0.19
622.91207,20,5.7,Wheat,0.1903
622.92649,20,5.7,Wheat,0.1906
622.92778,20,5.7,Wheat,0.1909
622.93536,20,5.7,Wheat,0.1912
622.97786,20,5.7,Wheat,0.1915
622.99015,20,5.7,Wheat,0.1918
622.99903,20,5.7,Wheat,0.1921
623,20,5.7,Wheat,0.1924
623,20,5.7,Wheat,0.1927
623.04124,20,5.7,Wheat,0.193
623.07143,20,5.7,Wheat,0.1933
623.07692,20,5.7,Wheat,0.1936
623.09572,20,5.7,Wheat,0.1939
623.11065,20,5.7,Wheat,0.1942
623.11404,20,5.7,Wheat,0.1945
623.125,20,5.7,Wheat,0.1948
623.14286,20,5.7,Wheat,0.1951
623.2,20,5.7,Wheat,0.1954
623.20331,20,5.7,Wheat,0.1957
623.20388,20,5.7,Wheat,0.196
623.20745,20,5.7,Wheat,0.1963
623.20999,20,5.7,Wheat,0.1966
623.22957,20,5.7,Wheat,0.1969
623.24683,20,5.7,Wheat,0.1972
623.25,20,5.7,Wheat,0.1975
623.25,20,5.7,Wheat,0.1978
623.25,20,5.7,Wheat,0.1981
623.28288,20,5.7,Wheat,0.1984
623.37058,20,5.7,Wheat,0.1987
623.3956,20,5.7,Wheat,0.199
623.41274,20,5.7,Wheat,0.1993
623.47959,20,5.7,Wheat,0.1996
623.48174,20,5.7,Wheat,0.1999
623.48189,20,5.7,Wheat,0.2002
623.51351,20,5.7,Wheat,0.2005
623.51351,20,5.7,Wheat,0.2008
623.51678,20,5.7,Wheat,0.2011
623.51916,20,5.7,Wheat,0.2014
623.55828,20,5.7,Wheat,0.2017
623.58178,20,5.7,Wheat,0.202
623.59099,20,5.7,Wheat,0.2023
623.60612,20,5.7,Wheat,0.2026
623.61067,20,5.7,Wheat,0.2029
623.61714,20,5.7,Wheat,0.2032
623.62201,20,5.7,Wheat,0.2035
623.63265,20,5.7,Wheat,0.2038
623.64175,20,5.7,Wheat,0.2041
623.65363,20,5.7,Wheat,0.2044
623.66057,20,5.7,Wheat,0.2047
623.68421,20,5.7,Wheat,0.205
623.70821,20,5.7,Wheat,0.2053
623.77027,20,5.7,Wheat,0.2056
623.78453,20,5.7,Wheat,0.2059
623.79826,20,5.7,Wheat,0.2062
623.80403,20,5.7,Wheat,0.2065
623.83497,20,5.7,Wheat,0.2068
623.85246,20,5.7,Wheat,0.2071
623.86737,20,5.7,Wheat,0.2074
623.91136,20,5.7,Wheat,0.2077
623.96953,20,5.7,Wheat,0.208
623.97906,20,5.7,Wheat,0.2083
623.98116,20,5.7,Wheat,0.2086
623.98734,20,5.7,Wheat,0.2089
623.99596,20,5.7,Wheat,0.2092
624,20,5.7,Wheat,0.2095
624,20,5.7,Wheat,0.2098
624,20,5.7,Wheat,0.2101
624.05155,20,5.7,Wheat,0.2104
624.09104,20,5.7,Wheat,0.2107
624.11153,20,5.7,Wheat,0.211
624.11765,20,5.7,Wheat,0.2113
624.16164,20,5.7,Wheat,0.2116
624.16479,20,5.7,Wheat,0.2119
624.17143,20,5.7,Wheat,0.2122
624.17901,20,5.7,Wheat,0.2125
624.18807,20,5.7,Wheat,0.2128
624.18807,20,5.7,Wheat,0.2131
624.23354,20,5.7,Wheat,0.2134
624.23513,20,5.7,Wheat,0.2137
624.24453,20,5.7,Wheat,0.214
624.25037,20,5.7,Wheat,0.2143
624.28628,20,5.7,Wheat,0.2146
624.28798,20,5.7,Wheat,0.2149
624.31034,20,5.7,Wheat,0.2152
624.31838,20,5.7,Wheat,0.2155
624.375,20,5.7,Wheat,0.2158
624.375,20,5.7,Wheat,0.2161
624.40415,20,5.7,Wheat,0.2164
624.49396,20,5.7,Wheat,0.2167
624.49773,20,5.7,Wheat,0.217
624.5045,20,5.7,Wheat,0.2173
624.50703,20,5.7,Wheat,0.2176
624.53065,20,5.7,Wheat,0.2179
624.54545,20,5.7,Wheat,0.2182
624.56384,20,5.7,Wheat,0.2185
624.56806,20,5.7,Wheat,0.2188
624.57692,20,5.7,Wheat,0.2191
624.5919,20,5.7,Wheat,0.2194
624.60177,20,5.7,Wheat,0.2197
624.61017,20,5.7,Wheat,0.22
624.65347,20,5.7,Wheat,0.2203
624.65724,20,5.7,Wheat,0.2206
624.67532,20,5.7,Wheat,0.2209
624.67742,20,5.7,Wheat,0.2212
624.69035,20,5.7,Wheat,0.2215
624.69409,20,5.7,Wheat,0.2218
624.69636,20,5.7,Wheat,0.2221
624.71853,20,5.7,Wheat,0.2224
624.71963,20,5.7,Wheat,0.2227
624.72712,20,5.7,Wheat,0.223
624.73898,20,5.7,Wheat,0.2233
624.75,20,5.7,Wheat,0.2236
624.75755,20,5.7,Wheat,0.2239
624.76744,20,5.7,Wheat,0.2242
624.76935,20,5.7,Wheat,0.2245
624.78369,20,5.7,Wheat,0.2248
624.79481,20,5.7,Wheat,0.2251
624.80024,20,5.7,Wheat,0.2254
624.80976,20,5.7,Wheat,0.2257
624.82302,20,5.7,Wheat,0.226
624.8449,20,5.7,Wheat,0.2263
624.85275,20,5.7,Wheat,0.2266
624.85714,20,5.7,Wheat,0.2269
624.87805,20,5.7,Wheat,0.2272
624.88429,20,5.7,Wheat,0.2275
624.9,20,5.7,Wheat,0.2278
624.90137,20,5.7,Wheat,0.2281
624.93243,20,5.7,Wheat,0.2284
624.9533,20,5.7,Wheat,0.2287
625,20,5.7,Wheat,0.229
625,20,5.7,Wheat,0.2293
625,20,5.7,Wheat,0.2296
625,20,5.7,Wheat,0.2299
625.00253,20,5.7,Wheat,0.2302
625.03311,20,5.7,Wheat,0.2305
625.06538,20,5.7,Wheat,0.2308
625.06726,20,5.7,Wheat,0.2311
625.07463,20,5.7,Wheat,0.2314
625.08881,20,5.7,Wheat,0.2317
625.12602,20,5.7,Wheat,0.232
625.13793,20,5.7,Wheat,0.2323
625.1546,20,5.7,Wheat,0.2326
625.16129,20,5.7,Wheat,0.2329
625.19231,20,5.7,Wheat,0.2332
625.2,20,5.7,Wheat,0.2335
625.2046,20,5.7,Wheat,0.2338
625.26316,20,5.7,Wheat,0.2341
625.29148,20,5.7,Wheat,0.2344
625.29179,20,5.7,Wheat,0.2347
625.30032,20,5.7,Wheat,0.235
625.31727,20,5.7,Wheat,0.2353
625.33196,20,5.7,Wheat,0.2356
625.36232,20,5.7,Wheat,0.2359
625.36663,20,5.7,Wheat,0.2362
625.38462,20,5.7,Wheat,0.2365
625.38462,20,5.7,Wheat,0.2368
625.40016,20,5.7,Wheat,0.2371
625.41222,20,5.7,Wheat,0.2374
625.41829,20,5.7,Wheat,0.2377
625.43957,20,5.7,Wheat,0.238
625.47414,20,5.7,Wheat,0.2383
625.47745,20,5.7,Wheat,0.2386
625.49066,20,5.7,Wheat,0.2389
625.52083,20,5.7,Wheat,0.2392
625.53403,20,5.7,Wheat,0.2395
625.55556,20,5.7,Wheat,0.2398
625.56458,20,5.7,Wheat,0.2401
625.59799,20,5.7,Wheat,0.2404
625.60227,20,5.7,Wheat,0.2407
625.62374,20,5.7,Wheat,0.241
625.62685,20,5.7,Wheat,0.2413
625.6429,20,5.7,Wheat,0.2416
625.64516,20,5.7,Wheat,0.2419
625.65789,20,5.7,Wheat,0.2422
625.66161,22,5.7,Wheat,0.2425
625.66265,22,5.7,Wheat,0.2428
625.69715,22,5.7,Wheat,0.2431
625.70822,22,5.7,Wheat,0.2434
625.72586,22,5.7,Wheat,0.2437
625.73552,22,5.7,Wheat,0.244
625.75249,22,5.7,Wheat,0.2443
625.75786,22,5.7,Wheat,0.2446
625.76951,22,5.7,Wheat,0.2449
625.79667,22,5.7,Wheat,0.2452
625.82381,22,5.7,Wheat,0.2455
625.82658,22,5.7,Wheat,0.2458
625.83819,22,5.7,Wheat,0.2461
625.875,22,5.7,Wheat,0.2464
625.88235,22,5.7,Wheat,0.2467
625.94411,22,5.7,Wheat,0.247
625.98425,22,5.7,Wheat,0.2473
625.98425,22,5.7,Wheat,0.2476
626,22,5.7,Wheat,0.2479
626,22,5.7,Wheat,0.2482
626,22,5.7,Wheat,0.2485
626.01372,22,5.7,Wheat,0.2488
626.01372,22,5.7,Wheat,0.2491
626.02603,22,5.7,Wheat,0.2494
626.03998,22,5.7,Wheat,0.2497
626.04,22,5.7,Wheat,0.25
626.04291,22,5.7,Wheat,0.2503
626.04996,22,5.7,Wheat,0.2506
626.05004,22,5.7,Wheat,0.2509
626.05245,22,5.7,Wheat,0.2512
626.08696,22,5.7,Wheat,0.2515
626.08696,22,5.7,Wheat,0.2518
626.08892,22,5.7,Wheat,0.2521
626.10902,22,5.7,Wheat,0.2524
626.1254,22,5.7,Wheat,0.2527
626.13971,22,5.7,Wheat,0.253
626.14417,22,5.7,Wheat,0.2533
626.15974,22,5.7,Wheat,0.2536
626.16493,22,5.7,Wheat,0.2539
